GenusSpecies,Genus,Species,Family,SubOrder,body_colors,body_colortypes,body_patterns,mate_guarding,flight_mode,territoriality,continents,aquatic_habitats,climates,ecozones,habitat_openness,citations,ISBN,DOI,sex_polymorphisms,sex_dimorphisms,geo_polymorphisms,body_lengths,forewing_lengths,hindwing_lengths,has_wing_pigment,wing_pigment_extent_discrete,wing_pigment_extent_continuous,wing_pigment_pattern,wing_pigment_symmetry,wing_pigment_dimorphism,wing_pigment_color,wing_pigment_placement,wing_pigment_color_type,female_has_wing_pigment,female_wing_pigment_extent_discrete,female_wing_pigment_extent_continuous,female_wing_pigment_placement,female_body_lengths,female_hindwing_lengths,female_forewing_lengths
Acanthagrion ascendens,Acanthagrion,ascendens,Coenagrionidae,Zygoptera,black,pigment,plain,NA,percher,NA,south america,stream,NA,neotropical,semi,Michalski (2015),9.78099E+12,NA,monomorphic,NA,NA,33,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion ascendens,Acanthagrion,ascendens,Coenagrionidae,Zygoptera,blue,NA,spotted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion ascendens,Acanthagrion,ascendens,Coenagrionidae,Zygoptera,green,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion ascendens,Acanthagrion,ascendens,Coenagrionidae,Zygoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion kennedii,Acanthagrion,kennedii,Coenagrionidae,Zygoptera,black,pigment,spotted,NA,percher,NA,south america,stream,NA,neotropical,NA,Michalski (2015),9.78099E+12,NA,males,NA,NA,29,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion kennedii,Acanthagrion,kennedii,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion kennedii,Acanthagrion,kennedii,Coenagrionidae,Zygoptera,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,black,pigment,plain,NA,percher,territorial,north america,pond,Af,nearctic,closed,Abbott (2011),978-0-292-71449-6,NA,NA,weak,NA,31,NA,17,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,wetland,Aw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,BSh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion quadratum,Acanthagrion,quadratum,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,stream,Am,neotropical,open,Paulson (2009),978-0691122816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion vidua,Acanthagrion,vidua,Coenagrionidae,Zygoptera,black,pigment,plain,NA,percher,NA,south america,stream,NA,neotropical,NA,Michalski (2015),9.78099E+12,NA,monomorphic,NA,NA,31,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion vidua,Acanthagrion,vidua,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthagrion vidua,Acanthagrion,vidua,Coenagrionidae,Zygoptera,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aciagrion dondoense,Aciagrion,dondoense,Coenagrionidae,Zygoptera,blue,pigment,plain,NA,percher,NA,afrika,wetland,NA,afrotropical,closed,Dijkstra and Clausnitzer (2014),978-9491615061,NA,NA,weak,NA,37.5,NA,20.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aciagrion dondoense,Aciagrion,dondoense,Coenagrionidae,Zygoptera,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aciagrion dondoense,Aciagrion,dondoense,Coenagrionidae,Zygoptera,green,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,Samways (2008),9.78955E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aciagrion hisopa,Aciagrion,hisopa,Coenagrionidae,Zygoptera,black,pigment,plain,NA,percher,NA,asia,wetland,Af,indomalaya,NA,Nair (2011),NA,NA,monomorphic,weak,NA,31.5,NA,16.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA
Aciagrion hisopa,Aciagrion,hisopa,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,NA,Aw,NA,NA,Bun et al (2010),978-9810861551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aciagrion occidentale,Aciagrion,occidentale,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aciagrion occidentale,Aciagrion,occidentale,Coenagrionidae,Zygoptera,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aciagrion occidentale,Aciagrion,occidentale,Coenagrionidae,Zygoptera,black,pigment,plain,NA,flier,territorial,asia,wetland,Aw,indomalaya,NA,Nair (2011),NA,NA,monomorphic,weak,NA,NA,NA,15.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
Aciagrion pallidum,Aciagrion,pallidum,Coenagrionidae,Zygoptera,brown,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aciagrion pallidum,Aciagrion,pallidum,Coenagrionidae,Zygoptera,blue,pigment,plain,NA,percher,NA,asia,NA,Aw,indomalaya,NA,Nair (2011),NA,NA,monomorphic,weak,NA,NA,NA,18,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
Aciagrion pinheyi,Aciagrion,pinheyi,Coenagrionidae,Zygoptera,green,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aciagrion pinheyi,Aciagrion,pinheyi,Coenagrionidae,Zygoptera,black,pigment,plain,NA,percher,NA,afrika,wetland,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,NA,weak,NA,38,NA,21,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acisoma panorpoides,Acisoma,panorpoides,Libellulidae,Anisoptera,black,pigment,spotted,NA,flier,NA,afrika,lake,Am,afrotropical,semi,Dijkstra and Lewington (2006),978-0953139941,NA,monomorphic,weak,NA,28,NA,22,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,18,NA
Acisoma panorpoides,Acisoma,panorpoides,Libellulidae,Anisoptera,blue,NA,striped,NA,percher,NA,asia,river,Aw,indomalaya,NA,Hamalainen and Pinratana (1999),9.78975E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acisoma panorpoides,Acisoma,panorpoides,Libellulidae,Anisoptera,white,NA,NA,NA,NA,NA,europe,wetland,Csa,palearctic,NA,Nair (2011),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acisoma panorpoides,Acisoma,panorpoides,Libellulidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sugimura et al (2001),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acisoma panorpoides,Acisoma,panorpoides,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onzono et al (2012),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acisoma panorpoides,Acisoma,panorpoides,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subramanian (2005),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acisoma panorpoides,Acisoma,panorpoides,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bun et al (2010),978-9810861551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acisoma panorpoides,Acisoma,panorpoides,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2002),0-620-29887-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna affinis,Aeshna,affinis,Aeshnidae,Anisoptera,black,pigment,spotted,contact,flier,NA,afrika,ephemeral,NA,palearctic,semi,Dijkstra and Lewington (2006),978-0953139941,NA,NA,strong,NA,61.5,NA,39.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna affinis,Aeshna,affinis,Aeshnidae,Anisoptera,blue,NA,striped,NA,NA,NA,asia,pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna affinis,Aeshna,affinis,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna caerulea,Aeshna,caerulea,Aeshnidae,Anisoptera,black,pigment,spotted,none,flier,territorial,asia,wetland,NA,nearctic,open,Askew (1988),978-0946589104,NA,NA,strong,NA,59,NA,39,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna caerulea,Aeshna,caerulea,Aeshnidae,Anisoptera,blue,NA,striped,NA,NA,NA,europe,NA,NA,palearctic,NA,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna caerulea,Aeshna,caerulea,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,north america,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna constricta,Aeshna,constricta,Aeshnidae,Anisoptera,green,NA,NA,NA,NA,NA,NA,pond,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna constricta,Aeshna,constricta,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna constricta,Aeshna,constricta,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna constricta,Aeshna,constricta,Aeshnidae,Anisoptera,blue,pigment,spotted,NA,flier,NA,north america,ephemeral,Cfa,nearctic,open,Paulson (2009),978-0691122816,NA,females,strong,NA,69,NA,43.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna constricta,Aeshna,constricta,Aeshnidae,Anisoptera,brown,NA,striped,NA,NA,NA,NA,lake,Dfa,NA,semi,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna crenata,Aeshna,crenata,Aeshnidae,Anisoptera,black,pigment,spotted,NA,flier,territorial,asia,lake,Cfa,palearctic,semi,Sugimura et al (2001),9.78483E+12,NA,NA,strong,NA,78.5,NA,52,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.5,56.5,NA
Aeshna crenata,Aeshna,crenata,Aeshnidae,Anisoptera,blue,NA,NA,NA,NA,NA,europe,wetland,Dfa,NA,NA,Onzono et al (2012),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna cyanea,Aeshna,cyanea,Aeshnidae,Anisoptera,black,pigment,spotted,none,flier,territorial,afrika,lake,NA,palearctic,closed,Askew (1988),978-0946589104,NA,NA,strong,NA,71.5,NA,48,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna cyanea,Aeshna,cyanea,Aeshnidae,Anisoptera,green,NA,NA,NA,NA,NA,asia,pond,NA,NA,NA,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna cyanea,Aeshna,cyanea,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,europe,wetland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna eremita,Aeshna,eremita,Aeshnidae,Anisoptera,brown,NA,NA,NA,NA,NA,NA,stream,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna eremita,Aeshna,eremita,Aeshnidae,Anisoptera,green,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna eremita,Aeshna,eremita,Aeshnidae,Anisoptera,black,pigment,spotted,NA,flier,non-territorial,north america,lake,Dfa,nearctic,closed,Paulson (2009),978-0691122816,NA,females,strong,monomorphic,72.5,NA,46.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna eremita,Aeshna,eremita,Aeshnidae,Anisoptera,blue,NA,striped,NA,NA,NA,NA,pond,Dfb,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna grandis,Aeshna,grandis,Aeshnidae,Anisoptera,brown,pigment,plain,none,flier,NA,europe,lake,NA,palearctic,closed,Askew (1988),978-0946589104,NA,NA,strong,NA,73.5,NA,45,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna grandis,Aeshna,grandis,Aeshnidae,Anisoptera,yellow,NA,spotted,NA,NA,NA,NA,NA,NA,NA,NA,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna grandis,Aeshna,grandis,Aeshnidae,Anisoptera,NA,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna interrupta,Aeshna,interrupta,Aeshnidae,Anisoptera,brown,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna interrupta,Aeshna,interrupta,Aeshnidae,Anisoptera,green,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna interrupta,Aeshna,interrupta,Aeshnidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna interrupta,Aeshna,interrupta,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna interrupta,Aeshna,interrupta,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna interrupta,Aeshna,interrupta,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna interrupta,Aeshna,interrupta,Aeshnidae,Anisoptera,black,pigment,spotted,NA,flier,territorial,north america,lake,BSk,nearctic,closed,Paulson (2009),978-0691122816,NA,females,strong,NA,66.5,NA,43.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna interrupta,Aeshna,interrupta,Aeshnidae,Anisoptera,blue,NA,striped,NA,NA,NA,NA,pond,Dfa,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna juncea,Aeshna,juncea,Aeshnidae,Anisoptera,black,pigment,spotted,none,flier,territorial,asia,lake,Cfa,nearctic,closed,Askew (1988),978-0946589104,NA,females,strong,NA,75.5,NA,44,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,51.5,NA
Aeshna juncea,Aeshna,juncea,Aeshnidae,Anisoptera,blue,NA,striped,NA,NA,NA,europe,pond,Dfa,palearctic,open,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna juncea,Aeshna,juncea,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna juncea,Aeshna,juncea,Aeshnidae,Anisoptera,green,NA,NA,NA,NA,NA,north america,wetland,Dfb,NA,NA,Onzono et al (2012),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna juncea,Aeshna,juncea,Aeshnidae,Anisoptera,white,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna minuscula,Aeshna,minuscula,Aeshnidae,Anisoptera,brown,pigment,striped,NA,flier,NA,afrika,stream,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,NA,weak,NA,60.5,NA,37.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna minuscula,Aeshna,minuscula,Aeshnidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2002),0-620-29887-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna mixta,Aeshna,mixta,Aeshnidae,Anisoptera,blue,pigment,spotted,contact,flier,NA,asia,lake,Dfa,palearctic,semi,Askew (1988),978-0946589104,NA,NA,strong,NA,60,NA,39.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,43.5,NA
Aeshna mixta,Aeshna,mixta,Aeshnidae,Anisoptera,brown,NA,striped,NA,NA,NA,europe,river,NA,NA,NA,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna mixta,Aeshna,mixta,Aeshnidae,Anisoptera,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onzono et al (2012),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna palmata,Aeshna,palmata,Aeshnidae,Anisoptera,blue,NA,striped,NA,NA,NA,NA,pond,Dfb,NA,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna palmata,Aeshna,palmata,Aeshnidae,Anisoptera,brown,NA,NA,NA,NA,NA,NA,stream,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna palmata,Aeshna,palmata,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna palmata,Aeshna,palmata,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna palmata,Aeshna,palmata,Aeshnidae,Anisoptera,black,pigment,spotted,NA,flier,territorial,north america,lake,BSk,nearctic,closed,Paulson (2009),978-0691122816,NA,females,strong,NA,70,NA,43.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna persephone,Aeshna,persephone,Aeshnidae,Anisoptera,brown,NA,striped,NA,NA,NA,NA,stream,BSh,neotropical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna persephone,Aeshna,persephone,Aeshnidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,BWh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna persephone,Aeshna,persephone,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna persephone,Aeshna,persephone,Aeshnidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna persephone,Aeshna,persephone,Aeshnidae,Anisoptera,blue,pigment,spotted,NA,flier,NA,north america,pond,Aw,nearctic,closed,Paulson (2009),978-0691122816,NA,females,medium,NA,76.5,NA,50.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna septentrionalis,Aeshna,septentrionalis,Aeshnidae,Anisoptera,black,pigment,spotted,NA,flier,NA,north america,ephemeral,Dfc,nearctic,NA,Paulson (2009),978-0691122816,NA,females,strong,monomorphic,58.5,NA,37.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeshna septentrionalis,Aeshna,septentrionalis,Aeshnidae,Anisoptera,blue,NA,striped,NA,NA,NA,NA,wetland,ET,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
